src,latitude,longitude
213,40.911529541,-72.6334915161
214,40.9716796875,-75.9890213013
215,40.8094558716,-73.9444122314
216,40.9469108582,-74.1936798096
217,40.9509925842,-74.0908050537
218,40.9426078796,-74.0715637207
219,40.9796066284,-74.0202713013
220,40.7618370056,-73.9257202148
221,40.9190101624,-73.8963394165
222,40.9112243652,-73.8797607422
223,40.9188690186,-73.8635787964
224,40.9571838379,-73.7743606567
225,40.9267501831,-73.8389511108
226,40.8800621033,-73.8313293457
227,41.0405807495,-75.8237457275
228,41.0056533813,-74.1394195557
229,40.8418197632,-73.9427337646
230,40.841545105,-73.944229126
231,40.8669509888,-73.9234161377
232,40.8441352844,-73.9389266968
233,40.9032402039,-73.8660202026
234,40.9278526306,-73.8956069946
235,40.9560127258,-73.8136749268
236,41.0155067444,-73.7275619507
237,40.926525116,-73.8381881714
238,40.8556632996,-73.8262405396
239,40.8786048889,-73.8709945679
240,41.0418586731,-73.5321731567
241,40.8527374268,-73.9365692139
242,41.082736969,-73.9924163818
243,40.870880127,-73.9146957397
244,40.8828430176,-73.8998184204
245,40.8822784424,-73.8819885254
246,40.8778610229,-73.8675994873
247,41.0230484009,-73.7721328735
248,40.8933563232,-73.8570632935
249,41.0523681641,-73.6334762573
250,40.8866844177,-73.8782043457
251,41.0542449951,-73.5321884155
252,41.0781135559,-73.478012085
253,40.9394836426,-73.7532348633
254,40.8541641235,-73.8907394409
255,40.9556312561,-73.9202728271
256,40.8478889465,-73.9401855469
257,40.8548812866,-73.9626693726
258,41.1103210449,-73.8671875
259,41.1045608521,-73.8007736206
260,41.0979652405,-73.7728042603
261,40.8826370239,-73.8269119263
262,41.121837616,-73.4988632202
263,40.848575592,-73.9375534058
264,40.835319519,-73.9442214966
265,41.1426506042,-73.2601013184
266,41.1473083496,-74.0610046387
267,41.154510498,-73.9286727905
268,41.159122467,-73.8672103882
269,40.8469467163,-73.898109436
270,40.7741775513,-73.8709793091
271,40.674331665,-73.9506378174
272,41.1826171875,-73.2062988281
273,41.2333831787,-74.0223312378
274,40.8406219482,-73.9365005493
275,41.2187957764,-73.2559356689
276,40.7872962952,-73.9288711548
277,41.219833374,-73.0591506958
278,41.2456130981,-73.0088424683
279,41.2898712158,-73.9029922485
280,40.8698425293,-73.8793029785
281,41.2612113953,-73.6894226074
282,40.8396186829,-73.9413452148
283,40.8738632202,-73.9086761475
284,41.3051643372,-72.9226837158
285,40.7719116211,-73.8316726685
286,41.4284172058,-73.4709396362
287,40.7094535828,-74.0104446411
288,41.407787323,-72.0412139893
289,41.4470787048,-74.3613815308
290,40.8381462097,-73.906791687
291,40.7526092529,-73.8943328857
292,41.5206832886,-72.0914382935
293,41.5841331482,-73.0544967651
294,41.6208152771,-74.0602035522
295,41.8252487183,-71.415687561
296,42.2548027039,-73.7902374268
297,40.6315994263,-73.9473114014
